OOGRWF


  z:      0.400D+01
  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.8002D+01


      r          p( 1s )       q( 1s )     npt
  0.2012D+01    0.1030D-01   -0.1504D-03   400
  0.2029D+01    0.9681D-02   -0.1413D-03   400
  0.2047D+01    0.9095D-02   -0.1328D-03   400
  0.2065D+01    0.8539D-02   -0.1247D-03   400
  0.2083D+01    0.8013D-02   -0.1170D-03   400
  0.2101D+01    0.7515D-02   -0.1097D-03   400
  0.2120D+01    0.7043D-02   -0.1028D-03   400
  0.2138D+01    0.6598D-02   -0.9631D-04   400
  0.2157D+01    0.6177D-02   -0.9016D-04   400
  0.2176D+01    0.5779D-02   -0.8436D-04   400
  0.2195D+01    0.5404D-02   -0.7888D-04   400
  0.2214D+01    0.5050D-02   -0.7372D-04   400
  0.2233D+01    0.4716D-02   -0.6885D-04   400
  0.2252D+01    0.4402D-02   -0.6426D-04   400
  0.2272D+01    0.4106D-02   -0.5994D-04   400
  0.2292D+01    0.3828D-02   -0.5588D-04   400
  0.2311D+01    0.3566D-02   -0.5206D-04   400
  0.2331D+01    0.3320D-02   -0.4847D-04   400
  0.2352D+01    0.3090D-02   -0.4510D-04   400
  0.2372D+01    0.2873D-02   -0.4194D-04   400
  0.2392D+01    0.2670D-02   -0.3897D-04   400
  0.2413D+01    0.2479D-02   -0.3619D-04   400
  0.2434D+01    0.2301D-02   -0.3359D-04   400
  0.2455D+01    0.2134D-02   -0.3115D-04   400
  0.2476D+01    0.1978D-02   -0.2888D-04   400
  0.2497D+01    0.1832D-02   -0.2675D-04   400
  0.2519D+01    0.1696D-02   -0.2476D-04   400
  0.2540D+01    0.1569D-02   -0.2290D-04   400
  0.2562D+01    0.1450D-02   -0.2117D-04   400
  0.2584D+01    0.1339D-02   -0.1955D-04   400
  0.2606D+01    0.1236D-02   -0.1805D-04   400
  0.2629D+01    0.1140D-02   -0.1665D-04   400
  0.2651D+01    0.1051D-02   -0.1535D-04   400
  0.2674D+01    0.9684D-03   -0.1414D-04   400
  0.2697D+01    0.8914D-03   -0.1301D-04   400
  0.2720D+01    0.8199D-03   -0.1197D-04   400
  0.2743D+01    0.7536D-03   -0.1100D-04   400
  0.2766D+01    0.6922D-03   -0.1010D-04   400
  0.2790D+01    0.6353D-03   -0.9273D-05   400
  0.2813D+01    0.5826D-03   -0.8505D-05   400
  0.2837D+01    0.5339D-03   -0.7794D-05   400
  0.2862D+01    0.4889D-03   -0.7137D-05   400
  0.2886D+01    0.4474D-03   -0.6531D-05   400
  0.2910D+01    0.4091D-03   -0.5972D-05   400
  0.2935D+01    0.3738D-03   -0.5456D-05   400
  0.2960D+01    0.3412D-03   -0.4981D-05   400
  0.2985D+01    0.3113D-03   -0.4544D-05   400
  0.3010D+01    0.2837D-03   -0.4142D-05   400
  0.3036D+01    0.2584D-03   -0.3772D-05   400
  0.3061D+01    0.2352D-03   -0.3433D-05   400
  0.3087D+01    0.2138D-03   -0.3121D-05   400
  0.3113D+01    0.1943D-03   -0.2836D-05   400
  0.3140D+01    0.1764D-03   -0.2575D-05   400
  0.3166D+01    0.1600D-03   -0.2335D-05   400
  0.3193D+01    0.1450D-03   -0.2117D-05   400
  0.3220D+01    0.1313D-03   -0.1917D-05   400
  0.3247D+01    0.1188D-03   -0.1734D-05   400
  0.3274D+01    0.1074D-03   -0.1568D-05   400
  0.3302D+01    0.9701D-04   -0.1416D-05   400
  0.3329D+01    0.8754D-04   -0.1278D-05   400
  0.3357D+01    0.7894D-04   -0.1152D-05   400
  0.3386D+01    0.7111D-04   -0.1038D-05   400
  0.3414D+01    0.6401D-04   -0.9344D-06   400
