OOGRWF


  z:      0.400D+01
  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.8002D+01


      r          p( 1s )       q( 1s )     npt
  0.1925D+01    0.5149D+00   -0.3757D-02   400
  0.1942D+01    0.5065D+00   -0.3696D-02   400
  0.1959D+01    0.4981D+00   -0.3635D-02   400
  0.1977D+01    0.4897D+00   -0.3574D-02   400
  0.1994D+01    0.4813D+00   -0.3513D-02   400
  0.2012D+01    0.4730D+00   -0.3452D-02   400
  0.2029D+01    0.4646D+00   -0.3391D-02   400
  0.2047D+01    0.4562D+00   -0.3330D-02   400
  0.2065D+01    0.4479D+00   -0.3269D-02   400
  0.2083D+01    0.4396D+00   -0.3208D-02   400
  0.2101D+01    0.4313D+00   -0.3148D-02   400
  0.2120D+01    0.4231D+00   -0.3087D-02   400
  0.2138D+01    0.4148D+00   -0.3027D-02   400
  0.2157D+01    0.4066D+00   -0.2968D-02   400
  0.2176D+01    0.3985D+00   -0.2908D-02   400
  0.2195D+01    0.3904D+00   -0.2849D-02   400
  0.2214D+01    0.3823D+00   -0.2790D-02   400
  0.2233D+01    0.3743D+00   -0.2732D-02   400
  0.2252D+01    0.3663D+00   -0.2673D-02   400
  0.2272D+01    0.3584D+00   -0.2616D-02   400
  0.2292D+01    0.3506D+00   -0.2559D-02   400
  0.2311D+01    0.3428D+00   -0.2502D-02   400
  0.2331D+01    0.3351D+00   -0.2445D-02   400
  0.2352D+01    0.3274D+00   -0.2389D-02   400
  0.2372D+01    0.3198D+00   -0.2334D-02   400
  0.2392D+01    0.3123D+00   -0.2279D-02   400
  0.2413D+01    0.3049D+00   -0.2225D-02   400
  0.2434D+01    0.2975D+00   -0.2171D-02   400
  0.2455D+01    0.2902D+00   -0.2118D-02   400
  0.2476D+01    0.2830D+00   -0.2066D-02   400
  0.2497D+01    0.2759D+00   -0.2014D-02   400
  0.2519D+01    0.2689D+00   -0.1962D-02   400
  0.2540D+01    0.2620D+00   -0.1912D-02   400
  0.2562D+01    0.2551D+00   -0.1862D-02   400
  0.2584D+01    0.2483D+00   -0.1812D-02   400
  0.2606D+01    0.2417D+00   -0.1764D-02   400
  0.2629D+01    0.2351D+00   -0.1716D-02   400
  0.2651D+01    0.2286D+00   -0.1668D-02   400
  0.2674D+01    0.2222D+00   -0.1622D-02   400
  0.2697D+01    0.2160D+00   -0.1576D-02   400
  0.2720D+01    0.2098D+00   -0.1531D-02   400
  0.2743D+01    0.2037D+00   -0.1486D-02   400
  0.2766D+01    0.1977D+00   -0.1443D-02   400
  0.2790D+01    0.1918D+00   -0.1400D-02   400
  0.2813D+01    0.1861D+00   -0.1358D-02   400
  0.2837D+01    0.1804D+00   -0.1317D-02   400
  0.2862D+01    0.1748D+00   -0.1276D-02   400
  0.2886D+01    0.1694D+00   -0.1236D-02   400
  0.2910D+01    0.1640D+00   -0.1197D-02   400
  0.2935D+01    0.1588D+00   -0.1159D-02   400
  0.2960D+01    0.1537D+00   -0.1121D-02   400
  0.2985D+01    0.1486D+00   -0.1085D-02   400
  0.3010D+01    0.1437D+00   -0.1049D-02   400
  0.3036D+01    0.1389D+00   -0.1014D-02   400
  0.3061D+01    0.1342D+00   -0.9792D-03   400
  0.3087D+01    0.1296D+00   -0.9456D-03   400
  0.3113D+01    0.1251D+00   -0.9128D-03   400
  0.3140D+01    0.1207D+00   -0.8807D-03   400
  0.3166D+01    0.1164D+00   -0.8494D-03   400
  0.3193D+01    0.1122D+00   -0.8189D-03   400
  0.3220D+01    0.1081D+00   -0.7891D-03   400
  0.3247D+01    0.1042D+00   -0.7601D-03   400
  0.3274D+01    0.1003D+00   -0.7319D-03   400
  0.3302D+01    0.9652D-01   -0.7044D-03   400
  0.3329D+01    0.9285D-01   -0.6776D-03   400
  0.3357D+01    0.8928D-01   -0.6515D-03   400
  0.3386D+01    0.8581D-01   -0.6262D-03   400
  0.3414D+01    0.8244D-01   -0.6016D-03   400
  0.3443D+01    0.7916D-01   -0.5777D-03   400
  0.3471D+01    0.7598D-01   -0.5545D-03   400
  0.3501D+01    0.7289D-01   -0.5320D-03   400
  0.3530D+01    0.6990D-01   -0.5101D-03   400
  0.3559D+01    0.6700D-01   -0.4889D-03   400
  0.3589D+01    0.6419D-01   -0.4684D-03   400
  0.3619D+01    0.6146D-01   -0.4486D-03   400
  0.3649D+01    0.5883D-01   -0.4293D-03   400
  0.3680D+01    0.5628D-01   -0.4107D-03   400
  0.3710D+01    0.5381D-01   -0.3927D-03   400
  0.3741D+01    0.5143D-01   -0.3753D-03   400
  0.3773D+01    0.4913D-01   -0.3585D-03   400
  0.3804D+01    0.4691D-01   -0.3423D-03   400
  0.3836D+01    0.4477D-01   -0.3267D-03   400
  0.3868D+01    0.4270D-01   -0.3116D-03   400
  0.3900D+01    0.4071D-01   -0.2971D-03   400
  0.3932D+01    0.3879D-01   -0.2831D-03   400
  0.3965D+01    0.3694D-01   -0.2696D-03   400
  0.3998D+01    0.3516D-01   -0.2566D-03   400
  0.4031D+01    0.3345D-01   -0.2441D-03   400
  0.4064D+01    0.3181D-01   -0.2322D-03   400
  0.4098D+01    0.3023D-01   -0.2206D-03   400
  0.4132D+01    0.2872D-01   -0.2096D-03   400
  0.4166D+01    0.2726D-01   -0.1990D-03   400
  0.4201D+01    0.2587D-01   -0.1888D-03   400
  0.4236D+01    0.2453D-01   -0.1790D-03   400
  0.4271D+01    0.2325D-01   -0.1697D-03   400
  0.4306D+01    0.2202D-01   -0.1607D-03   400
  0.4342D+01    0.2085D-01   -0.1522D-03   400
  0.4377D+01    0.1973D-01   -0.1440D-03   400
  0.4414D+01    0.1866D-01   -0.1362D-03   400
  0.4450D+01    0.1763D-01   -0.1287D-03   400
  0.4487D+01    0.1666D-01   -0.1216D-03   400
  0.4524D+01    0.1573D-01   -0.1148D-03   400
  0.4561D+01    0.1484D-01   -0.1083D-03   400
  0.4599D+01    0.1399D-01   -0.1021D-03   400
  0.4637D+01    0.1318D-01   -0.9621D-04   400
  0.4675D+01    0.1242D-01   -0.9061D-04   400
  0.4713D+01    0.1169D-01   -0.8529D-04   400
  0.4752D+01    0.1099D-01   -0.8023D-04   400
  0.4791D+01    0.1034D-01   -0.7542D-04   400
  0.4830D+01    0.9710D-02   -0.7086D-04   400
  0.4870D+01    0.9117D-02   -0.6653D-04   400
  0.4910D+01    0.8555D-02   -0.6243D-04   400
  0.4950D+01    0.8022D-02   -0.5854D-04   400
  0.4991D+01    0.7518D-02   -0.5486D-04   400
  0.5032D+01    0.7041D-02   -0.5138D-04   400
  0.5073D+01    0.6590D-02   -0.4809D-04   400
  0.5115D+01    0.6164D-02   -0.4498D-04   400
  0.5157D+01    0.5762D-02   -0.4205D-04   400
  0.5199D+01    0.5382D-02   -0.3928D-04   400
  0.5242D+01    0.5024D-02   -0.3666D-04   400
  0.5284D+01    0.4687D-02   -0.3420D-04   400
  0.5328D+01    0.4369D-02   -0.3188D-04   400
