OOGRWF


  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.5000D+00


      r          p( 1s )       q( 1s )
  0.1722D+02    0.1140D-05   -0.4159D-08
  0.1737D+02    0.9968D-06   -0.3637D-08
  0.1751D+02    0.8707D-06   -0.3177D-08
  0.1765D+02    0.7597D-06   -0.2772D-08
  0.1780D+02    0.6621D-06   -0.2416D-08
  0.1795D+02    0.5763D-06   -0.2103D-08
  0.1810D+02    0.5011D-06   -0.1829D-08
  0.1824D+02    0.4352D-06   -0.1588D-08
  0.1839D+02    0.3776D-06   -0.1378D-08
  0.1855D+02    0.3272D-06   -0.1194D-08
  0.1870D+02    0.2831D-06   -0.1033D-08
  0.1885D+02    0.2448D-06   -0.8930D-09
  0.1901D+02    0.2113D-06   -0.7710D-09
  0.1916D+02    0.1822D-06   -0.6649D-09
  0.1932D+02    0.1569D-06   -0.5726D-09
  0.1948D+02    0.1350D-06   -0.4926D-09
  0.1964D+02    0.1160D-06   -0.4232D-09
  0.1980D+02    0.9952D-07   -0.3631D-09
  0.1996D+02    0.8529D-07   -0.3112D-09
  0.2013D+02    0.7300D-07   -0.2664D-09
  0.2029D+02    0.6240D-07   -0.2277D-09
  0.2046D+02    0.5327D-07   -0.1944D-09
  0.2063D+02    0.4542D-07   -0.1657D-09
  0.2080D+02    0.3867D-07   -0.1411D-09
  0.2097D+02    0.3288D-07   -0.1200D-09
  0.2114D+02    0.2792D-07   -0.1019D-09
  0.2131D+02    0.2368D-07   -0.8641D-10
